Feature,Chi2,p_value,Significant_at_5pct
Contract,1184.5965720837926,5.863038300673391e-258,True
OnlineSecurity,849.9989679615965,2.6611496351765517e-185,True
TechSupport,828.1970684587394,1.4430840279998987e-180,True
InternetService,732.309589667794,9.571788222840544e-160,True
PaymentMethod,648.1423274814,3.6823546520097993e-140,True
OnlineBackup,601.812790113409,2.0797592160864276e-131,True
DeviceProtection,558.419369407389,5.505219496457244e-122,True
StreamingMovies,375.6614793452656,2.667756755723681e-82,True
StreamingTV,374.2039433109813,5.528994485739183e-82,True
PaperlessBilling,258.27764906707307,4.073354668665985e-58,True
Dependents,189.12924940423474,4.9249216612154196e-43,True
SeniorCitizen,159.42630036838742,1.510066805092378e-36,True
Partner,158.7333820309922,2.1399113440759935e-36,True
MultipleLines,11.33044148319756,0.0034643829548773,True
