customerID,Contract,tenure,MonthlyCharges,TotalCharges,InternetService,PaymentMethod,TechSupport,OnlineSecurity,Churn,ChurnRiskScore,RiskTier
5150-ITWWB,Month-to-month,3,94.85,335.75,Fiber optic,Electronic check,No,No,No,0.9628249903303286,High
5178-LMXOP,Month-to-month,1,95.1,95.1,Fiber optic,Electronic check,No,No,Yes,0.9625401661208952,High
9497-QCMMS,Month-to-month,1,93.55,93.55,Fiber optic,Electronic check,No,No,Yes,0.9620768038693351,High
4424-TKOPW,Month-to-month,2,93.85,196.75,Fiber optic,Electronic check,No,No,Yes,0.9618628950561274,High
9300-AGZNL,Month-to-month,1,94.0,94.0,Fiber optic,Electronic check,No,No,Yes,0.9618265576939887,High
7216-EWTRS,Month-to-month,1,100.8,100.8,Fiber optic,Electronic check,No,No,Yes,0.9610939793214576,High
5567-WSELE,Month-to-month,3,94.6,279.55,Fiber optic,Electronic check,No,No,Yes,0.9606707673470852,High
2720-WGKHP,Month-to-month,2,94.0,181.7,Fiber optic,Electronic check,No,No,Yes,0.9602502833232495,High
1374-DMZUI,Month-to-month,4,94.3,424.45,Fiber optic,Electronic check,No,No,Yes,0.9600106451501546,High
7024-OHCCK,Month-to-month,2,93.85,170.85,Fiber optic,Electronic check,No,No,Yes,0.9580220335198761,High
8098-LLAZX,Month-to-month,4,95.45,396.1,Fiber optic,Electronic check,No,No,Yes,0.957579491916992,High
1400-MMYXY,Month-to-month,3,105.9,334.65,Fiber optic,Electronic check,No,No,Yes,0.9557692179065301,High
0295-PPHDO,Month-to-month,1,95.45,95.45,Fiber optic,Electronic check,No,No,Yes,0.954418767122128,High
8149-RSOUN,Month-to-month,1,93.85,93.85,Fiber optic,Electronic check,No,No,Yes,0.9541230022963887,High
6023-YEBUP,Month-to-month,3,100.95,329.95,Fiber optic,Electronic check,No,No,Yes,0.9540941539710102,High
5419-JPRRN,Month-to-month,1,101.45,101.45,Fiber optic,Electronic check,No,No,Yes,0.9538563105709784,High
4910-GMJOT,Month-to-month,1,94.6,94.6,Fiber optic,Electronic check,No,No,Yes,0.9536216109093277,High
3049-SOLAY,Month-to-month,3,95.2,292.85,Fiber optic,Electronic check,No,No,Yes,0.9531532802326467,High
7851-WZEKY,Month-to-month,2,95.15,196.9,Fiber optic,Electronic check,No,No,Yes,0.9529028406751712,High
6496-SLWHQ,Month-to-month,3,105.0,294.45,Fiber optic,Electronic check,No,No,Yes,0.9518308007583187,High
9057-SIHCH,Month-to-month,3,96.6,291.9,Fiber optic,Electronic check,No,No,Yes,0.9500831475095074,High
2545-EBUPK,Month-to-month,2,84.05,186.05,Fiber optic,Electronic check,No,No,No,0.9493692697924345,High
3158-MOERK,Month-to-month,2,96.0,174.8,Fiber optic,Electronic check,No,No,Yes,0.9493633958270696,High
9681-OXGVC,Month-to-month,5,100.5,514.0,Fiber optic,Electronic check,No,No,Yes,0.9490016750534389,High
3068-OMWZA,Month-to-month,1,88.8,88.8,Fiber optic,Electronic check,No,No,Yes,0.9489149576109169,High
4826-XTSOH,Month-to-month,1,86.05,86.05,Fiber optic,Electronic check,No,No,Yes,0.948905227852414,High
2446-BEGGB,Month-to-month,6,98.25,560.6,Fiber optic,Electronic check,No,No,Yes,0.9484029398733483,High
4695-WJZUE,Month-to-month,2,88.55,179.25,Fiber optic,Electronic check,No,No,Yes,0.9478096900956066,High
1069-XAIEM,Month-to-month,1,85.05,85.05,Fiber optic,Electronic check,No,No,Yes,0.9475427545052483,High
6350-XFYGW,Month-to-month,4,94.75,422.4,Fiber optic,Electronic check,No,No,No,0.9474516509814195,High
2656-TABEH,Month-to-month,4,100.2,420.2,Fiber optic,Electronic check,No,No,Yes,0.9472852629894915,High
1415-YFWLT,Month-to-month,1,89.3,89.3,Fiber optic,Electronic check,No,No,Yes,0.947014652606455,High
5277-ZLOOR,Month-to-month,2,85.55,187.45,Fiber optic,Electronic check,No,No,Yes,0.9468367181111885,High
6521-YYTYI,Month-to-month,1,93.3,93.3,Fiber optic,Electronic check,No,No,Yes,0.9459050327588996,High
1273-MTETI,Month-to-month,4,88.85,372.45,Fiber optic,Electronic check,No,No,Yes,0.9458803322087864,High
5192-EBGOV,Month-to-month,1,85.7,85.7,Fiber optic,Electronic check,No,No,Yes,0.9458092688565196,High
4750-ZRXIU,Month-to-month,4,84.6,360.1,Fiber optic,Electronic check,No,No,Yes,0.9454811180745084,High
3988-RQIXO,Month-to-month,1,91.3,91.3,Fiber optic,Electronic check,No,No,Yes,0.945468985061153,High
1724-BQUHA,Month-to-month,5,89.5,477.7,Fiber optic,Electronic check,No,No,Yes,0.944907335792494,High
0107-YHINA,Month-to-month,1,99.75,99.75,Fiber optic,Electronic check,No,No,Yes,0.9448885851039908,High
