customerID,Contract,tenure,MonthlyCharges,TotalCharges,InternetService,PaymentMethod,TechSupport,OnlineSecurity,Churn,ChurnRiskScore,RiskTier
7216-EWTRS,Month-to-month,1,100.8,100.8,Fiber optic,Electronic check,No,No,Yes,0.9642149474538505,High
5178-LMXOP,Month-to-month,1,95.1,95.1,Fiber optic,Electronic check,No,No,Yes,0.9639189546289817,High
9300-AGZNL,Month-to-month,1,94.0,94.0,Fiber optic,Electronic check,No,No,Yes,0.9636392721917109,High
9497-QCMMS,Month-to-month,1,93.55,93.55,Fiber optic,Electronic check,No,No,Yes,0.963592395438046,High
7024-OHCCK,Month-to-month,2,93.85,170.85,Fiber optic,Electronic check,No,No,Yes,0.9631252830657705,High
2720-WGKHP,Month-to-month,2,94.0,181.7,Fiber optic,Electronic check,No,No,Yes,0.9627078561900287,High
4424-TKOPW,Month-to-month,2,93.85,196.75,Fiber optic,Electronic check,No,No,Yes,0.9626918524530675,High
5567-WSELE,Month-to-month,3,94.6,279.55,Fiber optic,Electronic check,No,No,Yes,0.9619928643624022,High
5150-ITWWB,Month-to-month,3,94.85,335.75,Fiber optic,Electronic check,No,No,No,0.961846316990641,High
8098-LLAZX,Month-to-month,4,95.45,396.1,Fiber optic,Electronic check,No,No,Yes,0.9613908000241034,High
1374-DMZUI,Month-to-month,4,94.3,424.45,Fiber optic,Electronic check,No,No,Yes,0.9612637712498282,High
1400-MMYXY,Month-to-month,3,105.9,334.65,Fiber optic,Electronic check,No,No,Yes,0.9573466517984774,High
6496-SLWHQ,Month-to-month,3,105.0,294.45,Fiber optic,Electronic check,No,No,Yes,0.9570427326121913,High
4910-GMJOT,Month-to-month,1,94.6,94.6,Fiber optic,Electronic check,No,No,Yes,0.9551107173444556,High
8149-RSOUN,Month-to-month,1,93.85,93.85,Fiber optic,Electronic check,No,No,Yes,0.9550150801443306,High
0295-PPHDO,Month-to-month,1,95.45,95.45,Fiber optic,Electronic check,No,No,Yes,0.9546968795921571,High
5419-JPRRN,Month-to-month,1,101.45,101.45,Fiber optic,Electronic check,No,No,Yes,0.9545799609979344,High
2446-BEGGB,Month-to-month,6,98.25,560.6,Fiber optic,Electronic check,No,No,Yes,0.9542384000086722,High
3158-MOERK,Month-to-month,2,96.0,174.8,Fiber optic,Electronic check,No,No,Yes,0.9541535752379435,High
7851-WZEKY,Month-to-month,2,95.15,196.9,Fiber optic,Electronic check,No,No,Yes,0.9540429715584664,High
3049-SOLAY,Month-to-month,3,95.2,292.85,Fiber optic,Electronic check,No,No,Yes,0.953096934011162,High
9057-SIHCH,Month-to-month,3,96.6,291.9,Fiber optic,Electronic check,No,No,Yes,0.9530708264869907,High
6023-YEBUP,Month-to-month,3,100.95,329.95,Fiber optic,Electronic check,No,No,Yes,0.9521800658808929,High
3988-RQIXO,Month-to-month,1,91.3,91.3,Fiber optic,Electronic check,No,No,Yes,0.9521363244674969,High
1069-XAIEM,Month-to-month,1,85.05,85.05,Fiber optic,Electronic check,No,No,Yes,0.9520556834316938,High
1415-YFWLT,Month-to-month,1,89.3,89.3,Fiber optic,Electronic check,No,No,Yes,0.9518647862108993,High
5192-EBGOV,Month-to-month,1,85.7,85.7,Fiber optic,Electronic check,No,No,Yes,0.9516753336624346,High
4826-XTSOH,Month-to-month,1,86.05,86.05,Fiber optic,Electronic check,No,No,Yes,0.951382355771303,High
2545-EBUPK,Month-to-month,2,84.05,186.05,Fiber optic,Electronic check,No,No,No,0.9507036172742273,High
3068-OMWZA,Month-to-month,1,88.8,88.8,Fiber optic,Electronic check,No,No,Yes,0.9505852893540274,High
5277-ZLOOR,Month-to-month,2,85.55,187.45,Fiber optic,Electronic check,No,No,Yes,0.9504322150263752,High
4695-WJZUE,Month-to-month,2,88.55,179.25,Fiber optic,Electronic check,No,No,Yes,0.950367124530794,High
9681-OXGVC,Month-to-month,5,100.5,514.0,Fiber optic,Electronic check,No,No,Yes,0.9502440797273572,High
4750-ZRXIU,Month-to-month,4,84.6,360.1,Fiber optic,Electronic check,No,No,Yes,0.9482633068797062,High
6521-YYTYI,Month-to-month,1,93.3,93.3,Fiber optic,Electronic check,No,No,Yes,0.9481868017318704,High
2265-CYWIV,Month-to-month,4,99.6,347.65,Fiber optic,Electronic check,No,Yes,Yes,0.9481665308028019,High
0107-YHINA,Month-to-month,1,99.75,99.75,Fiber optic,Electronic check,No,No,Yes,0.9481198021794355,High
1273-MTETI,Month-to-month,4,88.85,372.45,Fiber optic,Electronic check,No,No,Yes,0.947874381259631,High
6630-UJZMY,Month-to-month,4,83.25,308.05,Fiber optic,Electronic check,No,No,No,0.9477952332409907,High
2865-TCHJW,Month-to-month,4,89.2,346.2,Fiber optic,Electronic check,No,No,Yes,0.9474183043089617,High
6350-XFYGW,Month-to-month,4,94.75,422.4,Fiber optic,Electronic check,No,No,No,0.9473078626516276,High
8414-MYSHR,Month-to-month,5,91.4,449.75,Fiber optic,Electronic check,No,No,Yes,0.946519326241036,High
1724-BQUHA,Month-to-month,5,89.5,477.7,Fiber optic,Electronic check,No,No,Yes,0.9462328400916258,High
8775-LHDJH,Month-to-month,1,90.6,90.6,Fiber optic,Electronic check,No,No,Yes,0.9461583945368726,High
0196-VULGZ,Month-to-month,6,84.35,474.9,Fiber optic,Electronic check,No,No,Yes,0.945830472533528,High
2656-TABEH,Month-to-month,4,100.2,420.2,Fiber optic,Electronic check,No,No,Yes,0.945570012359673,High
4847-TAJYI,Month-to-month,6,89.35,567.8,Fiber optic,Electronic check,No,No,No,0.9454867159231489,High
3319-DWOEP,Month-to-month,6,95.75,573.75,Fiber optic,Electronic check,No,No,Yes,0.9450259809558333,High
4587-VVTOX,Month-to-month,6,105.3,545.2,Fiber optic,Electronic check,No,No,Yes,0.9431663206458042,High
9282-IZGQK,Month-to-month,1,85.0,85.0,Fiber optic,Electronic check,No,No,Yes,0.9401904280766283,High
1624-NALOJ,Month-to-month,5,89.8,502.6,Fiber optic,Electronic check,No,No,Yes,0.9400430185285513,High
1875-QIVME,Month-to-month,2,104.4,242.8,Fiber optic,Electronic check,Yes,No,Yes,0.9400064819705771,High
2725-KXXWT,Month-to-month,1,90.75,90.75,Fiber optic,Electronic check,No,No,Yes,0.9397893786102695,High
8603-IJWDN,Month-to-month,1,86.6,86.6,Fiber optic,Electronic check,No,No,Yes,0.9397739783470931,High
4912-PIGUY,Month-to-month,1,84.6,84.6,Fiber optic,Electronic check,No,No,No,0.9395449500090409,High
7274-RTAPZ,Month-to-month,1,90.55,90.55,Fiber optic,Electronic check,No,No,Yes,0.9394866304122134,High
3027-ZTDHO,Month-to-month,1,89.9,89.9,Fiber optic,Electronic check,No,No,Yes,0.9393767418095571,High
0970-ETWGE,Month-to-month,1,89.55,89.55,Fiber optic,Electronic check,No,No,Yes,0.939317493729655,High
7577-SWIFR,Month-to-month,1,89.25,89.25,Fiber optic,Electronic check,No,No,No,0.9392666665558975,High
1455-ESIQH,Month-to-month,1,89.1,89.1,Fiber optic,Electronic check,No,No,Yes,0.9392412380391089,High
3722-WPXTK,Month-to-month,1,88.35,88.35,Fiber optic,Electronic check,No,No,Yes,0.9391139460231784,High
1143-NMNQJ,Month-to-month,2,85.7,169.8,Fiber optic,Electronic check,No,No,Yes,0.938816134080479,High
2034-GDRCN,Month-to-month,2,90.4,168.2,Fiber optic,Electronic check,No,No,Yes,0.9386529588835606,High
6108-OQZDQ,Month-to-month,4,97.95,384.5,Fiber optic,Electronic check,No,No,Yes,0.9385204439719379,High
3489-HHPFY,Month-to-month,2,84.05,134.05,Fiber optic,Electronic check,No,No,No,0.9382165055730558,High
0702-PGIBZ,Month-to-month,4,101.7,364.55,Fiber optic,Electronic check,No,No,Yes,0.9381885675783349,High
6474-FVJLC,Month-to-month,2,86.0,165.45,Fiber optic,Electronic check,No,No,Yes,0.9381670570989402,High
9546-CQJSU,Month-to-month,2,91.4,193.6,Fiber optic,Electronic check,No,No,Yes,0.9380172436884546,High
0754-UKWQP,Month-to-month,2,95.85,197.7,Fiber optic,Electronic check,No,No,Yes,0.9376976873806335,High
4927-WWOOZ,Month-to-month,2,91.45,171.45,Fiber optic,Electronic check,No,No,No,0.9375947527354284,High
0259-GBZSH,Month-to-month,2,85.65,181.5,Fiber optic,Electronic check,No,No,Yes,0.9375098978534938,High
9611-CTWIH,Month-to-month,3,89.45,240.45,Fiber optic,Electronic check,No,No,Yes,0.9369567331995449,High
3318-NMQXL,Month-to-month,3,92.0,266.8,Fiber optic,Electronic check,No,No,No,0.9366868884223589,High
