Feature,Coefficient,OddsRatio
cat__InternetService_Fiber optic,1.2659109146881125,3.5463216617382685
cat__StreamingMovies_Yes,0.4579912036740649,1.5808950969317166
cat__StreamingTV_Yes,0.4322187667980081,1.5406721262041996
cat__MultipleLines_Yes,0.3872970077652669,1.4729939169420323
cat__PaymentMethod_Electronic check,0.37267634365058094,1.4516144395635011
cat__PaperlessBilling_Yes,0.3478300076609426,1.4159915215687937
cat__DeviceProtection_Yes,0.0774532736952679,1.0805317420235028
num__SeniorCitizen,0.05994162846414426,1.0617745673242387
cat__Partner_Yes,0.03394004534179316,1.034522580421037
cat__gender_Male,0.031205772164663585,1.0316977767306488
cat__PaymentMethod_Credit card (automatic),0.0022926951551709646,1.0022953253904334
cat__PaymentMethod_Mailed check,0.002017865229802778,1.0020199024899206
cat__MultipleLines_No phone service,-0.06549115091573558,0.9366073348401855
cat__OnlineBackup_Yes,-0.06991082441572992,0.9324769703770489
cat__OnlineSecurity_No internet service,-0.1723110210239882,0.8417173406637019
cat__OnlineBackup_No internet service,-0.1723110210239882,0.8417173406637019
cat__InternetService_No,-0.1723110210239882,0.8417173406637019
cat__StreamingMovies_No internet service,-0.1723110210239882,0.8417173406637019
cat__DeviceProtection_No internet service,-0.1723110210239882,0.8417173406637019
cat__StreamingTV_No internet service,-0.1723110210239882,0.8417173406637019
cat__TechSupport_No internet service,-0.1723110210239882,0.8417173406637019
cat__Dependents_Yes,-0.20757809408373834,0.8125497839644197
cat__TechSupport_Yes,-0.22231294717295824,0.8006647593507177
cat__PhoneService_Yes,-0.22412130904428607,0.799218176095408
cat__OnlineSecurity_Yes,-0.28597829900166216,0.7512789192725645
num__MonthlyCharges,-0.4268163583021534,0.6525833827450176
cat__TenureBand_49–72 months,-0.49172879898899485,0.6115682012585045
num__tenure,-0.6218233517839559,0.5369644693296604
cat__TenureBand_7–12 months,-0.6349709751471967,0.5299508698403342
cat__Contract_One year,-0.7184537568315534,0.48750547549068185
cat__TenureBand_25–48 months,-0.7659451948159318,0.46489430755269856
cat__TenureBand_13–24 months,-0.7789260128143078,0.45889859795573706
cat__Contract_Two year,-1.573385176242618,0.20734210344273912
